No,KABUPATEN,JUMLAH_LONGSOR,JIWA_TERDAMPAK,JIWA_MENINGGAL,RUSAK_TERDAMPAK,RUSAK_RINGAN,RUSAK_SEDANG,RUSAK_BERAT,TERTIMBUN,LAHAN,BANGUNAN LAINNYA,SARANA PENDIDIKAN,FASILITAS UMUM,LATITUDE,LONGITUDE
1,KABUPATEN BOGOR,437,6354,11,1263,543,542,178,11,1,97,27,154,-6.479036227,106.8245455
2,KABUPATEN SUKABUMI,299,2609,10,677,221,282,174,19,37,100,16,252,-6.988837162,106.550721
3,KABUPATEN CIANJUR,72,1037,8,168,52,62,54,0,801,10,3,67,-6.822804425,107.1393626
4,KABUPATEN BANDUNG,122,798,9,157,58,67,32,15,33,55,5,41,-7.021892955,107.5277269
5,KABUPATEN GARUT,87,1065,3,143,95,29,19,25,7,29,23,69,-7.202181896,107.8870055
6,KABUPATEN TASIKMALAYA,23,56,2,68,51,12,5,0,1,6,2,36,-7.339820818,108.1102364
7,KABUPATEN CIAMIS,133,985,4,315,182,104,29,0,12,51,6,61,-7.325855227,108.3510117
8,KABUPATEN KUNINGAN,76,304,1,77,38,32,7,0,3,51,3,76,-6.973888894,108.48347
9,KABUPATEN CIREBON,9,32,0,4,1,2,1,0,0,0,0,2,-6.738233144,108.4744561
10,KABUPATEN MAJALENGKA,78,875,0,278,166,66,46,0,4,39,2,54,-6.833231856,108.2272315
11,KABUPATEN SUMEDANG,115,556,6,110,53,30,27,3,7,26,4,54,-6.838884433,107.9191126
12,KABUPATEN INDRAMAYU,2,2,0,0,0,0,0,0,0,2,0,1,-6.32705888,108.3231233
13,KABUPATEN SUBANG,28,47,0,15,6,5,4,0,0,2,0,18,-6.571366802,107.7623546
14,KABUPATEN PURWAKARTA,57,824,2,277,104,48,125,0,3,12,1,33,-6.557066714,107.4422768
15,KABUPATEN KARAWANG,10,122,0,40,9,22,9,0,0,1,0,3,-6.301781534,107.3047898
16,KABUPATEN BEKASI,8,77,0,23,1,6,16,0,0,4,0,0,-6.364604176,107.1723293
17,KABUPATEN BANDUNG BARAT,143,745,5,359,140,123,96,5,6,21,8,52,-6.835020497,107.5105802
18,KABUPATEN PANGANDARAN,11,92,3,23,3,12,8,0,1,2,0,25,-7.700090202,108.4944775
19,KOTA BOGOR,236,1633,13,271,75,137,59,61,1,99,4,73,-6.595081384,106.7936805
20,KOTA SUKABUMI,21,198,0,53,30,19,4,0,1,26,2,9,-6.91770308,106.9315006
21,KOTA BANDUNG,12,59,2,10,0,4,6,0,0,1,1,10,-6.910655824,107.6098373
22,KOTA CIREBON,5,23,1,4,2,2,0,0,0,0,0,0,-6.706746862,108.5581087
23,KOTA BEKASI,6,19,0,15,6,9,0,0,0,7,0,6,-6.235769387,106.9941055
24,KOTA DEPOK,5,1,2,3,0,0,3,0,0,2,0,0,-6.39434469,106.8223459
25,KOTA CIMAHI,21,86,0,24,4,18,2,0,1,8,0,3,-6.870573209,107.5549636
26,KOTA TASIKMALAYA,15,112,0,44,19,15,10,0,1,11,0,6,-7.316301795,108.196696
27,KOTA BANJAR,5,0,0,2,0,1,1,0,0,0,0,2,-7.322627893,108.5638102
